bcr_patient_uuid	bcr_sample_barcode	bcr_analyte_barcode	bcr_analyte_uuid	a260_a280_ratio	amount	analyte_type	analyte_type_id	concentration	gel_image_file	is_derived_from_ffpe	normal_tumor_genotype_match	pcr_amplification_successful	ratio_28s_18s	rinvalue	spectrophotometer_method	subportion_sequence	well_number
005a6517-2e5a-4ea3-ab36-531522723607	TCGA-61-1740-11A	TCGA-61-1740-11A-01W	347f4509-70d3-498a-a0fb-84cbfac8b8a7	[Not Available]	1020.00	Repli-G (Qiagen) DNA	W	0.50	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
005a6517-2e5a-4ea3-ab36-531522723607	TCGA-61-1740-11A	TCGA-61-1740-11A-01W	347f4509-70d3-498a-a0fb-84cbfac8b8a7	[Not Available]	124.00	Repli-G (Qiagen) DNA	W	0.50	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
16ced1b8-64d5-4498-82df-4d37bfe5b310	TCGA-61-1741-01A	TCGA-61-1741-01A-02D	9c26e5bf-a795-4282-a4ab-da86707b8abc	1.90	356.67	DNA	D	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	YES	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
16ced1b8-64d5-4498-82df-4d37bfe5b310	TCGA-61-1741-01A	TCGA-61-1741-01A-02G	dbf2f6a4-20fa-48ab-8328-36a2ab9583c8	[Not Available]	0.00	GenomePlex (Rubicon) Amplified DNA	G	0.06	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
16ced1b8-64d5-4498-82df-4d37bfe5b310	TCGA-61-1741-01A	TCGA-61-1741-01A-02R	ac85afc6-d9bf-4385-b5af-fe05d2478628	1.80	274.00	RNA	R	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	[Not Available]	[Not Available]	1.20	7.00	UV Spec	[Not Available]	[Not Available]
16ced1b8-64d5-4498-82df-4d37bfe5b310	TCGA-61-1741-01A	TCGA-61-1741-01A-02T	43c7abf5-ac1e-43e7-a601-7fd2ebf8389e	[Not Available]	68.00	Total RNA	T	0.10	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	[Not Available]	[Not Available]	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
16ced1b8-64d5-4498-82df-4d37bfe5b310	TCGA-61-1741-01A	TCGA-61-1741-01A-02W	ace2e59a-e6e6-4939-a15a-785ab61a6836	[Not Available]	1020.00	Repli-G (Qiagen) DNA	W	0.50	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
16ced1b8-64d5-4498-82df-4d37bfe5b310	TCGA-61-1741-01A	TCGA-61-1741-01A-02W	ace2e59a-e6e6-4939-a15a-785ab61a6836	[Not Available]	140.00	Repli-G (Qiagen) DNA	W	0.50	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
16ced1b8-64d5-4498-82df-4d37bfe5b310	TCGA-61-1741-11A	TCGA-61-1741-11A-01D	8941a362-e785-4474-b82d-8e19103626e8	1.90	122.97	DNA	D	0.17	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	YES	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
16ced1b8-64d5-4498-82df-4d37bfe5b310	TCGA-61-1741-11A	TCGA-61-1741-11A-01G	8c6ecc0a-6258-4cb3-bdb2-afbf242345ef	[Not Available]	0.00	GenomePlex (Rubicon) Amplified DNA	G	0.06	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
16ced1b8-64d5-4498-82df-4d37bfe5b310	TCGA-61-1741-11A	TCGA-61-1741-11A-01W	c30dbf68-abe4-4b1c-9374-33bee1509895	[Not Available]	139.00	Repli-G (Qiagen) DNA	W	0.50	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
16ced1b8-64d5-4498-82df-4d37bfe5b310	TCGA-61-1741-11A	TCGA-61-1741-11A-01W	c30dbf68-abe4-4b1c-9374-33bee1509895	[Not Available]	1020.00	Repli-G (Qiagen) DNA	W	0.50	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
0dd95368-0713-45f0-84f4-c91af9cbba74	TCGA-61-1895-01A	TCGA-61-1895-01A-01D	9bcaf15e-2563-49df-8463-01133bdf09d6	1.90	542.67	DNA	D	0.13	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	YES	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
0dd95368-0713-45f0-84f4-c91af9cbba74	TCGA-61-1895-01A	TCGA-61-1895-01A-01G	56caa2df-c0f4-4e29-83b7-b0b263efa455	[Not Available]	0.00	GenomePlex (Rubicon) Amplified DNA	G	0.09	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
0dd95368-0713-45f0-84f4-c91af9cbba74	TCGA-61-1895-01A	TCGA-61-1895-01A-01R	66c92005-1eab-4b8b-bbca-d1c7ef51cb2e	1.80	189.00	RNA	R	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	[Not Available]	[Not Available]	1.40	9.10	UV Spec	[Not Available]	[Not Available]
0dd95368-0713-45f0-84f4-c91af9cbba74	TCGA-61-1895-01A	TCGA-61-1895-01A-01T	91a34e0e-92ee-4586-a099-9ce19e20fc1d	[Not Available]	44.00	Total RNA	T	0.10	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	[Not Available]	[Not Available]	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
0dd95368-0713-45f0-84f4-c91af9cbba74	TCGA-61-1895-01A	TCGA-61-1895-01A-01W	81047679-e988-4bdf-a22f-3c9370b98c96	[Not Available]	165.00	Repli-G (Qiagen) DNA	W	0.50	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
0dd95368-0713-45f0-84f4-c91af9cbba74	TCGA-61-1895-01A	TCGA-61-1895-01A-01W	81047679-e988-4bdf-a22f-3c9370b98c96	[Not Available]	1020.00	Repli-G (Qiagen) DNA	W	0.50	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
0dd95368-0713-45f0-84f4-c91af9cbba74	TCGA-61-1895-11A	TCGA-61-1895-11A-01D	ffa96579-d66f-4dd2-8baa-0f75637e2681	1.90	76.97	DNA	D	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	YES	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
0dd95368-0713-45f0-84f4-c91af9cbba74	TCGA-61-1895-11A	TCGA-61-1895-11A-01W	ed985810-76c1-40f1-95ba-46c62d39078b	[Not Available]	1020.00	Repli-G (Qiagen) DNA	W	0.50	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
0dd95368-0713-45f0-84f4-c91af9cbba74	TCGA-61-1895-11A	TCGA-61-1895-11A-01W	ed985810-76c1-40f1-95ba-46c62d39078b	[Not Available]	140.00	Repli-G (Qiagen) DNA	W	0.50	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
35b1bb47-b32b-4acd-8e5e-fe6bd56c0289	TCGA-61-1899-01A	TCGA-61-1899-01A-01D	85506cba-dbad-4325-820f-f2a68ed6e929	1.90	436.67	DNA	D	0.13	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	YES	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
35b1bb47-b32b-4acd-8e5e-fe6bd56c0289	TCGA-61-1899-01A	TCGA-61-1899-01A-01G	38b70e2f-fbca-4bd5-9739-3241bc7d822f	[Not Available]	0.00	GenomePlex (Rubicon) Amplified DNA	G	0.13	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
35b1bb47-b32b-4acd-8e5e-fe6bd56c0289	TCGA-61-1899-01A	TCGA-61-1899-01A-01R	da0ab730-820a-411c-9a07-2ba75b533836	1.80	337.00	RNA	R	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	[Not Available]	[Not Available]	1.20	9.20	UV Spec	[Not Available]	[Not Available]
35b1bb47-b32b-4acd-8e5e-fe6bd56c0289	TCGA-61-1899-01A	TCGA-61-1899-01A-01T	8fc6abfa-1178-495c-a5f3-b056fe4a1056	[Not Available]	70.00	Total RNA	T	0.10	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	[Not Available]	[Not Available]	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
35b1bb47-b32b-4acd-8e5e-fe6bd56c0289	TCGA-61-1899-01A	TCGA-61-1899-01A-01W	344b02d8-767c-4c36-9c80-0ac03334773e	[Not Available]	1020.00	Repli-G (Qiagen) DNA	W	0.50	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
35b1bb47-b32b-4acd-8e5e-fe6bd56c0289	TCGA-61-1899-01A	TCGA-61-1899-01A-01W	344b02d8-767c-4c36-9c80-0ac03334773e	[Not Available]	146.00	Repli-G (Qiagen) DNA	W	0.50	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
35b1bb47-b32b-4acd-8e5e-fe6bd56c0289	TCGA-61-1899-11A	TCGA-61-1899-11A-01D	01eef762-9757-4539-8c10-e905ba745fc5	1.90	169.97	DNA	D	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	YES	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
35b1bb47-b32b-4acd-8e5e-fe6bd56c0289	TCGA-61-1899-11A	TCGA-61-1899-11A-01G	e5c499c9-7cee-43c7-ac3d-0d36b954baf1	[Not Available]	0.00	GenomePlex (Rubicon) Amplified DNA	G	0.06	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
35b1bb47-b32b-4acd-8e5e-fe6bd56c0289	TCGA-61-1899-11A	TCGA-61-1899-11A-01W	78d0b33e-3609-4b6d-b8c5-cfbeb6d47aa3	[Not Available]	131.00	Repli-G (Qiagen) DNA	W	0.50	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
35b1bb47-b32b-4acd-8e5e-fe6bd56c0289	TCGA-61-1899-11A	TCGA-61-1899-11A-01W	78d0b33e-3609-4b6d-b8c5-cfbeb6d47aa3	[Not Available]	1020.00	Repli-G (Qiagen) DNA	W	0.50	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
ef653772-e5d2-46ec-8610-f81d75d7353c	TCGA-61-1900-01A	TCGA-61-1900-01A-01D	7c611159-0f05-4a8c-b592-711857cfc5dd	1.90	692.67	DNA	D	0.13	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	YES	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
ef653772-e5d2-46ec-8610-f81d75d7353c	TCGA-61-1900-01A	TCGA-61-1900-01A-01G	6cf67452-ac5d-41ca-b88c-37afcf79b85d	[Not Available]	0.00	GenomePlex (Rubicon) Amplified DNA	G	0.12	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
ef653772-e5d2-46ec-8610-f81d75d7353c	TCGA-61-1900-01A	TCGA-61-1900-01A-01R	fababb90-b818-4b8d-a624-ed22523314ea	1.80	337.00	RNA	R	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	[Not Available]	[Not Available]	2.00	9.30	UV Spec	[Not Available]	[Not Available]
ef653772-e5d2-46ec-8610-f81d75d7353c	TCGA-61-1900-01A	TCGA-61-1900-01A-01T	e3c94a10-f4c2-4666-af27-2fb57b74a43c	[Not Available]	92.00	Total RNA	T	0.10	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	[Not Available]	[Not Available]	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
ef653772-e5d2-46ec-8610-f81d75d7353c	TCGA-61-1900-01A	TCGA-61-1900-01A-01W	ae64c63e-e0ba-46bb-aad1-23c00dd3661d	[Not Available]	126.00	Repli-G (Qiagen) DNA	W	0.50	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
ef653772-e5d2-46ec-8610-f81d75d7353c	TCGA-61-1900-01A	TCGA-61-1900-01A-01W	ae64c63e-e0ba-46bb-aad1-23c00dd3661d	[Not Available]	1020.00	Repli-G (Qiagen) DNA	W	0.50	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
ef653772-e5d2-46ec-8610-f81d75d7353c	TCGA-61-1900-11A	TCGA-61-1900-11A-01D	e2da7d7b-ebd1-4794-95be-5817b5529365	1.90	2.97	DNA	D	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	YES	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
ef653772-e5d2-46ec-8610-f81d75d7353c	TCGA-61-1900-11A	TCGA-61-1900-11A-01G	5fb16cc3-6d68-49c6-beee-408e1552b909	[Not Available]	0.00	GenomePlex (Rubicon) Amplified DNA	G	0.04	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
ef653772-e5d2-46ec-8610-f81d75d7353c	TCGA-61-1900-11A	TCGA-61-1900-11A-01W	a4dc697f-7aa9-467a-96e3-a109c41568fc	[Not Available]	149.00	Repli-G (Qiagen) DNA	W	0.50	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
ef653772-e5d2-46ec-8610-f81d75d7353c	TCGA-61-1900-11A	TCGA-61-1900-11A-01W	a4dc697f-7aa9-467a-96e3-a109c41568fc	[Not Available]	1020.00	Repli-G (Qiagen) DNA	W	0.50	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
7a75d318-b301-4f77-a97f-4d6784d27216	TCGA-61-1901-01A	TCGA-61-1901-01A-01D	14374409-bcd3-4950-9b1f-147b5f74e36d	1.90	249.67	DNA	D	0.13	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	YES	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
7a75d318-b301-4f77-a97f-4d6784d27216	TCGA-61-1901-01A	TCGA-61-1901-01A-01G	9a195cf0-5d56-4d88-a3bc-f72d0230e022	[Not Available]	0.00	GenomePlex (Rubicon) Amplified DNA	G	0.08	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
7a75d318-b301-4f77-a97f-4d6784d27216	TCGA-61-1901-01A	TCGA-61-1901-01A-01R	7c32091d-1ab7-4d0d-bbd4-8da7b0368bf5	1.80	217.00	RNA	R	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	[Not Available]	[Not Available]	1.30	8.80	UV Spec	[Not Available]	[Not Available]
7a75d318-b301-4f77-a97f-4d6784d27216	TCGA-61-1901-01A	TCGA-61-1901-01A-01T	2e548186-e6b6-4a31-8ef4-cd87fc832fdf	[Not Available]	44.00	Total RNA	T	0.10	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	[Not Available]	[Not Available]	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
7a75d318-b301-4f77-a97f-4d6784d27216	TCGA-61-1901-01A	TCGA-61-1901-01A-01W	3bf4aa9c-e103-4a21-94f9-4e0670c329b1	[Not Available]	1020.00	Repli-G (Qiagen) DNA	W	0.50	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
7a75d318-b301-4f77-a97f-4d6784d27216	TCGA-61-1901-01A	TCGA-61-1901-01A-01W	3bf4aa9c-e103-4a21-94f9-4e0670c329b1	[Not Available]	126.00	Repli-G (Qiagen) DNA	W	0.50	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
7a75d318-b301-4f77-a97f-4d6784d27216	TCGA-61-1901-11A	TCGA-61-1901-11A-01D	74cc24f7-36d5-4a14-a6b6-fce43bf52aa0	1.80	80.00	DNA	D	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	YES	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
7a75d318-b301-4f77-a97f-4d6784d27216	TCGA-61-1901-11A	TCGA-61-1901-11A-01G	89cb1e24-61e9-4353-9348-5e00d3dc5913	[Not Available]	0.00	GenomePlex (Rubicon) Amplified DNA	G	0.03	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
7a75d318-b301-4f77-a97f-4d6784d27216	TCGA-61-1901-11A	TCGA-61-1901-11A-01W	2ab767f6-807a-4a66-a323-6c8d574e948c	[Not Available]	122.00	Repli-G (Qiagen) DNA	W	0.50	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
7a75d318-b301-4f77-a97f-4d6784d27216	TCGA-61-1901-11A	TCGA-61-1901-11A-01W	2ab767f6-807a-4a66-a323-6c8d574e948c	[Not Available]	1020.00	Repli-G (Qiagen) DNA	W	0.50	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
b3df9c0a-420c-4cc2-a3e0-56df1ed7e997	TCGA-61-1903-01A	TCGA-61-1903-01A-01D	679dfa91-3021-457c-9d59-47e7a74538d0	1.90	580.67	DNA	D	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	YES	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
b3df9c0a-420c-4cc2-a3e0-56df1ed7e997	TCGA-61-1903-01A	TCGA-61-1903-01A-01G	c83d6f68-867f-47ee-abd0-a373151ab50d	[Not Available]	0.00	GenomePlex (Rubicon) Amplified DNA	G	0.06	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
b3df9c0a-420c-4cc2-a3e0-56df1ed7e997	TCGA-61-1903-01A	TCGA-61-1903-01A-01R	7be038a2-1af4-4ca9-a224-c96a31057100	1.80	464.00	RNA	R	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	[Not Available]	[Not Available]	0.00	9.40	UV Spec	[Not Available]	[Not Available]
b3df9c0a-420c-4cc2-a3e0-56df1ed7e997	TCGA-61-1903-01A	TCGA-61-1903-01A-01T	71e5c3c0-8fd8-438b-915c-6e75eaaeaae2	[Not Available]	105.00	Total RNA	T	0.10	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	[Not Available]	[Not Available]	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
b3df9c0a-420c-4cc2-a3e0-56df1ed7e997	TCGA-61-1903-01A	TCGA-61-1903-01A-01W	cad2ea8f-3af5-497d-9b09-f47d73c582a5	[Not Available]	127.00	Repli-G (Qiagen) DNA	W	0.50	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
b3df9c0a-420c-4cc2-a3e0-56df1ed7e997	TCGA-61-1903-01A	TCGA-61-1903-01A-01W	cad2ea8f-3af5-497d-9b09-f47d73c582a5	[Not Available]	1020.00	Repli-G (Qiagen) DNA	W	0.50	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
b3df9c0a-420c-4cc2-a3e0-56df1ed7e997	TCGA-61-1903-11A	TCGA-61-1903-11A-01D	ec8b3a77-94ff-4c3e-8cbf-ab4da8ed4551	1.90	273.97	DNA	D	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	YES	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
b3df9c0a-420c-4cc2-a3e0-56df1ed7e997	TCGA-61-1903-11A	TCGA-61-1903-11A-01G	70b8082e-85cb-4ed3-ba17-281a423bb63f	[Not Available]	0.00	GenomePlex (Rubicon) Amplified DNA	G	0.06	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
b3df9c0a-420c-4cc2-a3e0-56df1ed7e997	TCGA-61-1903-11A	TCGA-61-1903-11A-01W	eeec4035-8bf5-40bf-ab6b-0d9a1997d0c1	[Not Available]	130.00	Repli-G (Qiagen) DNA	W	0.50	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
b3df9c0a-420c-4cc2-a3e0-56df1ed7e997	TCGA-61-1903-11A	TCGA-61-1903-11A-01W	eeec4035-8bf5-40bf-ab6b-0d9a1997d0c1	[Not Available]	1020.00	Repli-G (Qiagen) DNA	W	0.50	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
2cdd5154-ee5c-4d67-b2eb-947dfaa56be2	TCGA-61-1904-01A	TCGA-61-1904-01A-01D	c0fb69f3-8bad-49c0-b702-e29d0cdd6f1d	1.90	43.67	DNA	D	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	YES	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
2cdd5154-ee5c-4d67-b2eb-947dfaa56be2	TCGA-61-1904-01A	TCGA-61-1904-01A-01R	f32a5b38-42e1-4fbe-bc99-49c2eb451f38	1.80	4.00	RNA	R	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	[Not Available]	[Not Available]	2.00	8.40	UV Spec	[Not Available]	[Not Available]
2cdd5154-ee5c-4d67-b2eb-947dfaa56be2	TCGA-61-1904-01A	TCGA-61-1904-01A-01T	debce2e3-1fc5-4bae-b9f4-2bbdb7bf5b1e	[Not Available]	17.00	Total RNA	T	0.10	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	[Not Available]	[Not Available]	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
2cdd5154-ee5c-4d67-b2eb-947dfaa56be2	TCGA-61-1904-01A	TCGA-61-1904-01A-01W	72807028-3ce3-4577-9a60-79aaa600e862	[Not Available]	1020.00	Repli-G (Qiagen) DNA	W	0.50	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
2cdd5154-ee5c-4d67-b2eb-947dfaa56be2	TCGA-61-1904-01A	TCGA-61-1904-01A-01W	72807028-3ce3-4577-9a60-79aaa600e862	[Not Available]	140.00	Repli-G (Qiagen) DNA	W	0.50	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
2cdd5154-ee5c-4d67-b2eb-947dfaa56be2	TCGA-61-1904-11A	TCGA-61-1904-11A-01D	a6d4bc57-192a-423b-874d-ffb9e615f898	1.90	517.97	DNA	D	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	YES	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
2cdd5154-ee5c-4d67-b2eb-947dfaa56be2	TCGA-61-1904-11A	TCGA-61-1904-11A-01W	00fd70aa-d8ad-4015-84e1-67aede413c55	[Not Available]	1020.00	Repli-G (Qiagen) DNA	W	0.50	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
2cdd5154-ee5c-4d67-b2eb-947dfaa56be2	TCGA-61-1904-11A	TCGA-61-1904-11A-01W	00fd70aa-d8ad-4015-84e1-67aede413c55	[Not Available]	144.00	Repli-G (Qiagen) DNA	W	0.50	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
f553e953-6464-421f-8933-26ca82cb79d3	TCGA-61-1906-01A	TCGA-61-1906-01A-01D	440a518c-81ef-47c5-af75-0e257246cda7	1.90	591.67	DNA	D	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	YES	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
f553e953-6464-421f-8933-26ca82cb79d3	TCGA-61-1906-01A	TCGA-61-1906-01A-01R	31b84ff9-7d12-4ffb-9c51-149f65244d6c	1.80	337.00	RNA	R	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	[Not Available]	[Not Available]	1.00	9.10	UV Spec	[Not Available]	[Not Available]
f553e953-6464-421f-8933-26ca82cb79d3	TCGA-61-1906-01A	TCGA-61-1906-01A-01T	93441ad4-c020-4ddd-a49f-a1722c97a338	[Not Available]	59.00	Total RNA	T	0.10	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	[Not Available]	[Not Available]	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
f553e953-6464-421f-8933-26ca82cb79d3	TCGA-61-1906-01A	TCGA-61-1906-01A-01W	0ce4539f-d00b-41a0-bc95-d44938de0852	[Not Available]	1020.00	Repli-G (Qiagen) DNA	W	0.50	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
f553e953-6464-421f-8933-26ca82cb79d3	TCGA-61-1906-01A	TCGA-61-1906-01A-01W	0ce4539f-d00b-41a0-bc95-d44938de0852	[Not Available]	153.00	Repli-G (Qiagen) DNA	W	0.50	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	NO	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
f553e953-6464-421f-8933-26ca82cb79d3	TCGA-61-1906-11A	TCGA-61-1906-11A-01D	fe8e7983-b58b-4184-b69f-cd7f32eac87e	1.90	589.97	DNA	D	0.17	https://sharedoc.nchri.org/tcga-bcr/default.aspx	NO	YES	YES	[Not Available]	[Not Available]	UV Spec	[Not Available]	[Not Available]
